,DATE,MAXIMUM_x000D_UN-REST-_x000D_RICTED_x000D_DEMAND_x000D_DURING_x000D_THE DAY,day_of_week,year,feelslike,precip,windspeed,winddir,sea level pressure,visibility,solarenergy,uvindex,moonphase,lagging_average,previous_difference,relative_humidity,month_cyclic,windchill
6,2018-01-07,4016.0,6.0,2018.0,11.7,0.0,20.5,270.5,1014.9,1.5,15.1,7.0,0.67,4150.857142857143,-169.0,70.03622268457613,0.49999999999999994,9.98397606089901
7,2018-01-08,4290.0,0.0,2018.0,12.0,0.0,13.0,265.6,1016.8,1.4,15.2,7.0,0.71,4184.571428571428,274.0,66.32639834560105,0.49999999999999994,10.976771768254025
8,2018-01-09,4225.0,1.0,2018.0,12.6,0.0,16.6,274.5,1018.8,1.4,15.3,7.0,0.75,4213.714285714285,-65.0,69.18180910225321,0.49999999999999994,10.959274063079517
9,2018-01-10,4241.0,2.0,2018.0,13.4,0.0,23.0,269.7,1018.4,1.6,15.4,7.0,0.77,4213.428571428572,16.0,63.97226887877967,0.49999999999999994,11.955705196244834
10,2018-01-11,4205.0,3.0,2018.0,13.4,0.0,22.2,270.7,1016.9,1.8,15.3,7.0,0.81,4232.285714285715,-36.0,63.10163104780153,0.49999999999999994,12.0107252219344
11,2018-01-12,4233.0,4.0,2018.0,14.5,0.0,15.0,267.3,1015.8,1.9,14.9,7.0,0.84,4199.285714285715,28.0,59.91695967893067,0.49999999999999994,13.586055645534582
12,2018-01-13,3959.0,5.0,2018.0,14.3,0.0,17.3,289.2,1016.1,1.8,15.6,7.0,0.87,4167.0,-274.0,60.67199563055361,0.49999999999999994,13.013177490047989
13,2018-01-14,3960.0,6.0,2018.0,14.2,0.0,16.6,267.1,1016.0,2.0,15.6,7.0,0.91,4159.0,1.0,58.218784357577526,0.49999999999999994,13.072421145456834
14,2018-01-15,3999.0,0.0,2018.0,13.8,0.0,22.4,279.7,1016.1,1.6,15.8,7.0,0.94,4117.428571428572,39.0,66.21696736238934,0.49999999999999994,12.124171291318836
15,2018-01-16,3910.0,1.0,2018.0,14.8,0.0,14.8,275.3,1013.6,2.2,16.1,7.0,0.97,4072.4285714285716,-89.0,54.55981383408278,0.49999999999999994,14.343553574675612
16,2018-01-17,4041.0,2.0,2018.0,14.2,0.0,14.8,113.4,1014.6,1.4,15.6,7.0,0.0,4043.8571428571427,131.0,67.22988501419064,0.49999999999999994,13.35817911627748
17,2018-01-18,3969.0,3.0,2018.0,16.7,0.0,13.0,272.3,1015.1,1.1,15.6,7.0,0.04,4010.1428571428573,-72.0,68.15956449874616,0.49999999999999994,16.341196495170347
18,2018-01-19,3993.0,4.0,2018.0,15.1,0.0,16.6,276.4,1016.0,0.8,15.6,7.0,0.08,3975.8571428571427,24.0,76.50500421474197,0.49999999999999994,14.066843301869685
19,2018-01-20,3825.0,5.0,2018.0,13.5,0.0,20.5,273.9,1015.1,1.2,16.2,7.0,0.11,3956.714285714286,-168.0,68.97327743072611,0.49999999999999994,12.259843792431324
20,2018-01-21,3908.0,6.0,2018.0,14.3,0.0,13.0,279.6,1014.4,2.4,16.3,7.0,0.14,3949.285714285714,83.0,57.81855244499924,0.49999999999999994,13.41514664412508
21,2018-01-22,4024.0,0.0,2018.0,15.4,0.0,11.2,134.7,1013.0,1.5,16.3,7.0,0.18,3952.8571428571427,116.0,61.76792692554457,0.49999999999999994,14.94322663331922
22,2018-01-23,3899.0,1.0,2018.0,13.5,1.0,18.4,103.5,1010.7,1.3,8.4,4.0,0.21,3951.285714285714,-125.0,82.6205720377137,0.49999999999999994,11.921347399901473
23,2018-01-24,4079.0,2.0,2018.0,12.5,0.0,14.8,268.7,1013.5,0.8,12.1,6.0,0.25,3956.714285714286,180.0,88.20815025668013,0.49999999999999994,11.141086584881684
24,2018-01-25,4081.0,3.0,2018.0,11.2,0.0,15.5,262.2,1013.1,0.5,16.2,7.0,0.25,3972.714285714286,2.0,92.35550813991742,0.49999999999999994,10.079286037586108
25,2018-01-26,3555.0,4.0,2018.0,11.5,0.0,11.2,297.4,1013.7,0.5,15.9,7.0,0.32,3910.1428571428573,-526.0,89.31759793637111,0.49999999999999994,10.484342751104695
26,2018-01-27,3940.0,5.0,2018.0,12.3,0.0,9.8,298.6,1013.9,1.0,16.4,7.0,0.35,3926.5714285714284,385.0,79.2472765316514,0.49999999999999994,11.767255903056459
27,2018-01-28,4063.0,6.0,2018.0,12.7,0.0,13.0,286.5,1014.6,1.0,16.7,7.0,0.39,3948.714285714286,123.0,73.13600552915649,0.49999999999999994,11.830202974808895
28,2018-01-29,4059.0,0.0,2018.0,13.7,0.0,14.8,289.9,1016.1,1.4,16.8,7.0,0.42,3953.714285714286,-4.0,69.42244007740423,0.49999999999999994,12.619148272478881
29,2018-01-30,3980.0,1.0,2018.0,16.8,0.0,22.3,279.6,1015.5,2.0,16.6,7.0,0.46,3965.285714285714,-79.0,59.25790747209786,0.49999999999999994,15.950325157659053
30,2018-01-31,4072.0,2.0,2018.0,16.9,0.0,31.6,270.4,1014.4,2.0,16.2,7.0,0.5,3964.285714285714,92.0,66.85405837020211,0.49999999999999994,15.510232619062709
31,2018-02-01,3753.0,3.0,2018.0,18.4,0.0,13.0,279.4,1014.4,2.3,16.7,7.0,0.52,3917.4285714285716,-319.0,58.82884579624172,0.8660254037844386,18.41381513966074
32,2018-02-02,3884.0,4.0,2018.0,17.9,0.0,14.8,287.3,1012.7,2.0,17.0,7.0,0.56,3964.4285714285716,131.0,65.74628995460962,0.8660254037844386,17.669192371769306
33,2018-02-03,3783.0,5.0,2018.0,16.9,0.0,14.8,301.0,1015.2,2.4,17.4,7.0,0.59,3942.0,-101.0,53.88709969873432,0.8660254037844386,16.43747429877164
34,2018-02-04,3752.0,6.0,2018.0,15.0,0.0,18.4,287.2,1015.8,2.4,17.8,8.0,0.62,3897.5714285714284,-31.0,55.291642744206534,0.8660254037844386,13.926707524460449
35,2018-02-05,3718.0,0.0,2018.0,14.7,0.0,14.8,282.4,1017.9,1.7,15.5,7.0,0.65,3848.8571428571427,-34.0,51.15424792186653,0.8660254037844386,13.850866345476547
36,2018-02-06,3742.0,1.0,2018.0,16.1,0.0,18.4,305.3,1017.9,2.2,12.6,6.0,0.69,3814.8571428571427,24.0,51.15112876854382,0.8660254037844386,15.180057602309816
37,2018-02-07,3818.0,2.0,2018.0,14.8,0.0,20.4,278.6,1014.8,2.3,18.6,8.0,0.75,3778.5714285714284,76.0,53.01884894641854,0.8660254037844386,13.657527881649434
38,2018-02-08,3724.0,3.0,2018.0,14.7,0.0,13.0,297.8,1013.9,2.0,18.2,8.0,0.75,3774.4285714285716,-94.0,55.18814631749252,0.8660254037844386,13.902821619299292
39,2018-02-09,3946.0,4.0,2018.0,15.3,0.0,14.8,292.2,1013.9,2.0,18.5,8.0,0.78,3783.285714285714,222.0,54.611914619289735,0.8660254037844386,14.589897189275144
40,2018-02-10,3726.0,5.0,2018.0,16.3,0.0,13.0,15.9,1016.1,2.2,17.6,7.0,0.82,3775.1428571428573,-220.0,48.44827487374446,0.8660254037844386,15.853521519996136
41,2018-02-11,3707.0,6.0,2018.0,18.1,0.0,70.4,130.6,1015.5,2.4,12.4,6.0,0.85,3768.714285714286,-19.0,45.06860682242886,0.8660254037844386,16.086434618461602
42,2018-02-12,3736.0,0.0,2018.0,16.5,0.0,18.4,114.1,1017.6,3.0,10.3,4.0,0.88,3771.285714285714,29.0,70.42020601439421,0.8660254037844386,15.681397633449555
43,2018-02-13,3826.0,1.0,2018.0,16.6,0.0,16.6,306.5,1022.1,2.9,16.1,7.0,0.91,3783.285714285714,90.0,74.26228018389519,0.8660254037844386,15.931384845143794
44,2018-02-14,3944.0,2.0,2018.0,15.7,0.0,23.2,286.8,1022.1,2.6,18.8,8.0,0.95,3801.285714285714,118.0,61.86123509203748,0.8660254037844386,14.496650315281492
45,2018-02-15,3709.0,3.0,2018.0,16.7,0.0,22.6,280.3,1019.8,2.5,18.6,8.0,0.98,3799.1428571428573,-235.0,65.073830040354,0.8660254037844386,15.806453686149752
46,2018-02-16,3827.0,4.0,2018.0,17.4,0.0,18.4,280.2,1018.2,2.3,18.8,8.0,0.0,3782.1428571428573,118.0,69.22978232965605,0.8660254037844386,16.934747711298918
47,2018-02-17,3574.0,5.0,2018.0,18.4,0.0,18.4,278.0,1013.2,2.4,18.7,8.0,0.05,3760.4285714285716,-253.0,64.99006775866756,0.8660254037844386,18.06276278136334
48,2018-02-18,3591.0,6.0,2018.0,18.3,0.0,16.6,286.7,1012.3,2.4,19.3,8.0,0.08,3743.8571428571427,17.0,57.250610785957626,0.8660254037844386,18.044531927521113
49,2018-02-19,3549.0,0.0,2018.0,18.5,0.0,17.3,270.6,1013.8,2.7,19.2,8.0,0.12,3717.1428571428573,-42.0,52.88265053985817,0.8660254037844386,18.3759170341472
50,2018-02-20,3590.0,1.0,2018.0,19.5,0.0,16.6,286.3,1013.3,2.5,19.7,8.0,0.16,3683.4285714285716,41.0,54.61129185161576,0.8660254037844386,19.784770701243602
51,2018-02-21,3544.0,2.0,2018.0,22.1,0.0,11.2,283.0,1011.0,2.8,18.7,8.0,0.19,3626.285714285714,-46.0,48.82208800339516,0.8660254037844386,23.499463272163307
52,2018-02-22,3495.0,3.0,2018.0,22.6,0.0,14.8,306.0,1010.2,2.3,19.4,8.0,0.23,3595.714285714286,-49.0,55.783647347948076,0.8660254037844386,23.827782736757626
53,2018-02-23,3599.0,4.0,2018.0,23.6,0.0,11.2,347.9,1010.3,2.6,17.1,7.0,0.25,3563.1428571428573,104.0,54.24958122478118,0.8660254037844386,25.186608524893128
54,2018-02-24,3521.0,5.0,2018.0,24.7,0.0,14.8,112.1,1012.1,2.6,18.1,8.0,0.3,3555.5714285714284,-78.0,55.512385489466574,0.8660254037844386,26.04487526815342
55,2018-02-25,3367.0,6.0,2018.0,23.0,0.0,18.4,305.1,1015.5,2.6,19.8,8.0,0.33,3523.5714285714284,-154.0,58.42271752251945,0.8660254037844386,23.953508147255334
56,2018-02-26,3404.0,0.0,2018.0,20.8,0.0,23.5,283.7,1013.6,2.9,20.6,8.0,0.37,3502.8571428571427,37.0,62.59387194172953,0.8660254037844386,20.87214429860541
57,2018-02-27,3427.0,1.0,2018.0,22.5,0.0,22.4,281.0,1013.0,2.7,19.5,8.0,0.4,3479.5714285714284,23.0,61.77044548719183,0.8660254037844386,23.076726797063657
58,2018-02-28,3578.0,2.0,2018.0,23.2,0.0,14.8,295.0,1013.1,2.4,18.4,8.0,0.44,3484.4285714285716,151.0,63.53472696545519,0.8660254037844386,24.197298158656928
59,2018-03-01,3537.0,3.0,2018.0,22.7,0.0,14.8,313.0,1011.5,2.5,16.5,7.0,0.47,3490.4285714285716,-41.0,56.1474856138661,1.0,23.827782736757626
60,2018-03-02,2384.0,4.0,2018.0,23.3,0.0,18.4,303.3,1009.9,2.7,19.8,8.0,0.5,3316.8571428571427,-1153.0,53.79723549737621,1.0,24.454848178395082
61,2018-03-03,2940.0,5.0,2018.0,24.2,0.0,14.8,294.1,1007.7,2.8,18.3,8.0,0.54,3233.8571428571427,556.0,50.99122052517816,1.0,25.79853165355389
62,2018-03-04,3055.0,6.0,2018.0,22.9,0.0,22.3,300.7,1009.2,3.0,18.8,8.0,0.57,3189.285714285714,115.0,51.96848078937123,1.0,23.843460453146832
63,2018-03-05,3278.0,0.0,2018.0,21.7,0.0,22.3,291.0,1013.0,3.0,21.2,8.0,0.6,3171.285714285714,223.0,53.73950243894986,1.0,22.31575684756855
64,2018-03-06,3319.0,1.0,2018.0,20.8,0.0,28.2,277.3,1013.9,2.8,21.5,9.0,0.64,3155.8571428571427,41.0,54.94277281123837,1.0,20.97856168956181
65,2018-03-07,3378.0,2.0,2018.0,21.4,0.0,22.3,282.3,1012.8,2.9,22.2,9.0,0.67,3127.285714285714,59.0,51.91814222126301,1.0,21.933830946173984
66,2018-03-08,3364.0,3.0,2018.0,23.0,0.0,13.7,262.3,1013.6,2.9,21.7,9.0,0.7,3102.5714285714284,-14.0,47.814514169580505,1.0,24.605602279034308
67,2018-03-09,3527.0,4.0,2018.0,23.8,0.0,16.6,307.3,1013.7,3.2,21.4,9.0,0.75,3265.8571428571427,163.0,48.030646472150366,1.0,25.502698100617522
68,2018-03-10,3291.0,5.0,2018.0,23.6,0.0,21.4,288.0,1012.7,3.4,22.3,9.0,0.77,3316.0,-236.0,46.731329551002226,1.0,25.13613486849193
69,2018-03-11,3188.0,6.0,2018.0,23.5,0.0,16.6,276.3,1011.9,2.8,22.4,9.0,0.8,3335.0,-103.0,50.833641632770245,1.0,25.00548702241109
70,2018-03-12,3380.0,0.0,2018.0,24.5,0.0,20.5,277.2,1011.6,3.1,22.4,9.0,0.83,3349.5714285714284,192.0,45.46191446999852,1.0,26.294361470213897
71,2018-03-13,3486.0,1.0,2018.0,25.7,0.0,18.4,260.9,1010.0,3.2,22.6,9.0,0.86,3373.4285714285716,106.0,37.92172216810917,1.0,28.214898411943167
72,2018-03-14,3629.0,2.0,2018.0,25.9,0.0,14.8,245.2,1008.1,3.7,22.5,9.0,0.89,3409.285714285714,143.0,33.45307002664207,1.0,28.508311414148753
73,2018-03-15,3573.0,3.0,2018.0,25.2,0.0,25.0,294.6,1008.4,3.2,20.6,8.0,0.93,3439.1428571428573,-56.0,42.16958855515817,1.0,26.989189390012427
74,2018-03-16,3610.0,4.0,2018.0,24.3,0.0,18.4,299.8,1009.7,3.0,22.2,9.0,0.96,3451.0,37.0,47.17570297109565,1.0,25.833533264029384
75,2018-03-17,3331.0,5.0,2018.0,23.2,0.0,24.1,293.1,1011.0,3.7,23.6,9.0,0.0,3456.714285714286,-279.0,41.33203841364714,1.0,24.438669519405444
76,2018-03-18,3175.0,6.0,2018.0,23.7,0.0,20.5,292.7,1012.2,3.6,24.0,9.0,0.03,3454.8571428571427,-156.0,37.80727637892711,1.0,25.409301796840225
77,2018-03-19,3472.0,0.0,2018.0,25.0,0.0,16.6,274.7,1013.6,3.1,22.4,9.0,0.06,3468.0,297.0,37.69642675634043,1.0,27.24293687434001
78,2018-03-20,3506.0,1.0,2018.0,26.1,0.0,14.8,270.5,1010.6,3.1,22.1,9.0,0.1,3470.8571428571427,34.0,36.7940001829553,1.0,28.754655028748285
79,2018-03-21,3615.0,2.0,2018.0,26.2,0.0,22.3,305.4,1008.3,3.3,18.7,8.0,0.13,3468.8571428571427,109.0,46.169721049218026,1.0,28.17195400228529
80,2018-03-22,3585.0,3.0,2018.0,24.3,0.0,22.3,299.3,1009.3,3.0,20.3,9.0,0.17,3470.5714285714284,-30.0,54.75305155323643,1.0,25.625781326321487
81,2018-03-23,3576.0,4.0,2018.0,23.8,0.0,17.3,284.4,1010.6,2.9,22.5,8.0,0.2,3465.714285714286,-9.0,51.863992999373274,1.0,25.11052018255085
82,2018-03-24,3349.0,5.0,2018.0,25.0,0.0,38.7,284.5,1013.0,3.2,24.2,9.0,0.25,3468.285714285714,-227.0,47.08424263068994,1.0,26.57473930023424
83,2018-03-25,3109.0,6.0,2018.0,25.2,0.0,22.0,279.7,1014.2,2.9,24.2,9.0,0.28,3458.8571428571427,-240.0,46.22574451248476,1.0,27.03051490048065
84,2018-03-26,3575.0,0.0,2018.0,25.9,0.0,22.3,283.9,1012.6,3.0,24.3,9.0,0.31,3473.5714285714284,466.0,41.59331256485337,1.0,28.17195400228529
85,2018-03-27,3766.0,1.0,2018.0,27.1,0.0,16.9,295.9,1009.1,3.4,25.3,9.0,0.35,3510.714285714286,191.0,31.65870567995205,1.0,30.225176087348274
86,2018-03-28,3704.0,2.0,2018.0,28.2,0.0,22.3,285.5,1008.3,3.1,24.8,9.0,0.38,3523.4285714285716,-62.0,29.529841648160655,1.0,31.736595748634613
87,2018-03-29,3698.0,3.0,2018.0,27.7,0.0,24.1,290.5,1007.7,3.3,25.1,9.0,0.42,3539.5714285714284,-6.0,34.43841312557104,1.0,30.844817128358397
88,2018-03-30,3752.0,4.0,2018.0,27.9,0.0,22.7,276.4,1005.4,3.7,25.3,10.0,0.46,3564.714285714286,54.0,33.1506570245286,1.0,31.100282893783255
89,2018-03-31,3613.0,5.0,2018.0,26.6,0.0,18.4,89.5,1007.8,3.4,24.6,9.0,0.5,3602.4285714285716,-139.0,44.77629022147233,1.0,28.590903435297975
90,2018-04-01,3470.0,6.0,2018.0,28.4,0.0,14.8,107.8,1009.5,3.4,24.9,9.0,0.52,3654.0,-143.0,43.50127107207296,0.8660254037844387,30.602232138244783
91,2018-04-02,3926.0,0.0,2018.0,29.1,0.0,16.6,109.4,1009.7,3.6,24.4,9.0,0.56,3704.1428571428573,456.0,41.82589026090099,0.8660254037844387,31.71783657819787
92,2018-04-03,4056.0,1.0,2018.0,31.5,0.0,18.4,121.3,1008.4,3.5,23.7,9.0,0.59,3745.5714285714284,130.0,39.482199010066786,0.8660254037844387,34.10564377783516
93,2018-04-04,4218.0,2.0,2018.0,31.9,0.0,16.6,60.4,1005.9,3.2,23.8,9.0,0.62,3819.0,162.0,37.010958408738865,0.8660254037844387,35.07401135609125
94,2018-04-05,4393.0,3.0,2018.0,31.6,0.0,16.6,315.2,1004.8,3.1,24.4,9.0,0.65,3918.285714285714,175.0,37.40518972533859,0.8660254037844387,34.70110304743643
95,2018-04-06,4385.0,4.0,2018.0,28.8,1.0,27.7,89.3,1006.9,3.2,22.0,9.0,0.68,4008.714285714286,-8.0,39.72136452891625,0.8660254037844387,31.75095206030598
96,2018-04-07,3686.0,5.0,2018.0,28.4,0.0,20.5,106.4,1008.9,4.1,21.0,9.0,0.72,4019.1428571428573,-699.0,47.83552711235986,0.8660254037844387,30.340348548493566
97,2018-04-08,3657.0,6.0,2018.0,29.9,0.0,203.8,101.2,1009.4,3.5,22.5,9.0,0.75,4045.8571428571427,-29.0,46.38472085908682,0.8660254037844387,32.21929726163289
98,2018-04-09,3816.0,0.0,2018.0,26.3,1.0,22.3,82.1,1010.8,3.7,20.7,9.0,0.78,4030.1428571428573,159.0,58.392350118639044,0.8660254037844387,27.66271946709253
99,2018-04-10,4060.0,1.0,2018.0,28.4,0.0,19.3,107.3,1008.8,3.2,23.1,9.0,0.81,4030.714285714286,244.0,50.38407255218568,0.8660254037844387,30.594926403944136
100,2018-04-11,3941.0,2.0,2018.0,27.0,0.0,22.3,64.0,1008.5,3.8,22.0,9.0,0.85,3991.1428571428573,-119.0,52.9219853072736,0.8660254037844387,28.55387990367986
101,2018-04-12,3885.0,3.0,2018.0,26.9,1.0,27.7,295.0,1008.4,3.7,23.2,9.0,0.88,3918.5714285714284,-56.0,46.93356601710952,0.8660254037844387,28.899553869944693
102,2018-04-13,3894.0,4.0,2018.0,27.7,0.0,16.6,304.7,1009.1,3.3,26.6,10.0,0.91,3848.4285714285716,9.0,27.312583632201076,0.8660254037844387,31.220625499991435
103,2018-04-14,3725.0,5.0,2018.0,28.1,0.0,18.4,303.5,1008.0,3.3,25.7,10.0,0.94,3854.0,-169.0,26.869596136211698,0.8660254037844387,31.72427862992138
104,2018-04-15,3859.0,6.0,2018.0,30.4,0.0,13.0,292.6,1007.2,3.2,24.9,10.0,0.97,3882.8571428571427,134.0,30.078194823075226,0.8660254037844387,34.141333089029054
105,2018-04-16,4180.0,0.0,2018.0,31.7,0.0,17.8,90.8,1007.3,2.7,23.1,9.0,0.0,3934.8571428571427,321.0,32.55373066226032,0.8660254037844387,35.22221321555683
106,2018-04-17,4454.0,1.0,2018.0,31.5,0.0,22.3,340.7,1008.7,3.4,24.3,9.0,0.04,3991.1428571428573,274.0,27.394250182216677,0.8660254037844387,35.93778066397488
107,2018-04-18,4488.0,2.0,2018.0,31.0,0.0,29.5,291.8,1008.0,3.7,26.9,10.0,0.08,4069.285714285714,34.0,25.38403152073788,0.8660254037844387,35.6639735910415
108,2018-04-19,4686.0,3.0,2018.0,31.6,0.0,20.6,291.2,1004.6,3.6,25.5,9.0,0.11,4183.714285714285,198.0,25.34643603037594,0.8660254037844387,36.158520018850794
109,2018-04-20,4685.0,4.0,2018.0,31.5,0.0,29.7,217.3,1003.5,3.3,24.3,9.0,0.15,4296.714285714285,-1.0,22.359453044599814,0.8660254037844387,36.57920457199438
110,2018-04-21,4288.0,5.0,2018.0,28.3,0.0,20.5,294.0,1008.3,2.8,27.5,10.0,0.19,4377.142857142857,-397.0,26.2300221422404,0.8660254037844387,32.110467895240916
111,2018-04-22,3828.0,6.0,2018.0,27.8,0.0,27.8,292.0,1009.3,3.3,28.1,10.0,0.22,4372.714285714285,-460.0,22.278339867514823,0.8660254037844387,31.491899040099245
112,2018-04-23,4188.0,0.0,2018.0,28.6,0.0,18.4,290.8,1008.2,3.5,27.8,10.0,0.25,4373.857142857143,360.0,19.866670988455848,0.8660254037844387,32.60162368441593
113,2018-04-24,4438.0,1.0,2018.0,30.0,0.0,19.3,289.2,1006.9,3.3,27.8,10.0,0.29,4371.571428571428,250.0,21.212278473206737,0.8660254037844387,34.36951545795196
114,2018-04-25,4664.0,2.0,2018.0,31.4,0.0,18.4,272.3,1004.1,3.3,27.3,10.0,0.33,4396.714285714285,226.0,17.75968895350835,0.8660254037844387,36.61234393353389
115,2018-04-26,4919.0,3.0,2018.0,32.9,0.0,14.8,303.0,1002.4,3.1,27.7,10.0,0.36,4430.0,255.0,19.259788489591607,0.8660254037844387,38.362055998130074
116,2018-04-27,5200.0,4.0,2018.0,34.1,0.0,20.5,99.7,1005.6,3.6,25.7,10.0,0.4,4503.571428571428,281.0,38.05871283480569,0.8660254037844387,36.66220335830554
117,2018-04-28,4835.0,5.0,2018.0,35.2,0.0,24.3,105.1,1005.1,2.7,26.2,10.0,0.44,4581.714285714285,-365.0,40.16736316184726,0.8660254037844387,37.383473473260835
118,2018-04-29,4800.0,6.0,2018.0,34.3,1.0,11.9,107.2,1002.2,2.3,25.8,9.0,0.47,4720.571428571428,-35.0,45.73872303661696,0.8660254037844387,35.57225397100031
119,2018-04-30,4851.0,0.0,2018.0,32.9,0.0,22.3,105.2,1000.5,3.1,24.7,10.0,0.5,4815.285714285715,51.0,43.95063035990168,0.8660254037844387,35.30123749498393
120,2018-05-01,5093.0,1.0,2018.0,33.7,0.0,24.1,104.5,1004.0,3.8,26.3,10.0,0.54,4908.857142857143,242.0,49.64767639109842,0.49999999999999994,34.688505693730164
121,2018-05-02,5225.0,2.0,2018.0,32.2,1.0,28.3,100.1,1005.7,2.9,25.2,10.0,0.57,4989.0,132.0,52.18406566600535,0.49999999999999994,33.180645756281436
122,2018-05-03,4607.0,3.0,2018.0,29.9,0.0,22.3,107.4,1006.1,3.0,25.0,9.0,0.6,4944.428571428572,-618.0,47.85033062841809,0.49999999999999994,31.863904382432793
123,2018-05-04,4863.0,4.0,2018.0,32.5,1.0,20.5,93.9,1006.5,3.6,25.8,9.0,0.64,4896.285714285715,256.0,49.80121522364428,0.49999999999999994,33.880587241988266
124,2018-05-05,4929.0,5.0,2018.0,34.4,1.0,13.0,65.7,1005.6,3.9,26.3,9.0,0.67,4909.714285714285,66.0,38.625804492661814,0.49999999999999994,36.82354545248721
125,2018-05-06,4906.0,6.0,2018.0,32.3,0.0,24.5,20.7,1006.2,3.3,25.7,10.0,0.7,4924.857142857143,-23.0,35.26613472357127,0.49999999999999994,35.7199688059805
126,2018-05-07,5182.0,0.0,2018.0,32.8,0.0,37.1,311.0,1004.5,3.4,26.1,10.0,0.73,4972.142857142857,276.0,31.401974768782104,0.49999999999999994,36.95176602279972
127,2018-05-08,4784.0,1.0,2018.0,29.5,0.0,27.7,311.8,1005.2,3.5,24.4,9.0,0.75,4928.0,-398.0,37.632575803728535,0.49999999999999994,32.52860611222268
128,2018-05-09,4799.0,2.0,2018.0,28.9,1.0,37.1,338.6,1007.0,3.6,26.0,10.0,0.8,4867.142857142857,15.0,45.00415269024812,0.49999999999999994,30.97407563023623
129,2018-05-10,4899.0,3.0,2018.0,31.6,0.0,14.8,298.4,1007.6,3.3,27.4,9.0,0.83,4908.857142857143,100.0,37.91528807098684,0.49999999999999994,34.79007358643685
130,2018-05-11,5302.0,4.0,2018.0,34.4,0.0,18.4,300.4,1004.5,2.9,27.6,10.0,0.86,4971.571428571428,403.0,29.995048655303354,0.49999999999999994,38.36703404252299
131,2018-05-12,5416.0,5.0,2018.0,37.2,1.0,46.4,113.0,1003.7,3.0,25.8,9.0,0.9,5041.142857142857,114.0,36.51792531612541,0.49999999999999994,39.91196925452846
132,2018-05-13,5344.0,6.0,2018.0,35.1,1.0,30.2,64.9,1004.1,3.1,23.9,9.0,0.93,5103.714285714285,-72.0,47.12900413987961,0.49999999999999994,35.67325730646078
133,2018-05-14,4946.0,0.0,2018.0,30.6,0.0,16.6,111.5,1005.6,3.1,26.6,10.0,0.96,5070.0,-398.0,46.78663098602612,0.49999999999999994,32.463653195507504
134,2018-05-15,5382.0,1.0,2018.0,34.5,0.0,18.4,95.4,1003.9,3.7,26.1,10.0,0.0,5155.428571428572,436.0,48.26022418477877,0.49999999999999994,35.23365884789959
135,2018-05-16,5350.0,2.0,2018.0,34.6,1.0,37.1,314.6,1002.9,3.8,27.3,10.0,0.03,5234.142857142857,-32.0,31.17735383321994,0.49999999999999994,38.81149192270835
136,2018-05-17,5387.0,3.0,2018.0,34.5,0.0,27.7,322.4,1003.1,3.3,26.3,10.0,0.06,5303.857142857143,37.0,24.726464380763755,0.49999999999999994,39.78671059677869
137,2018-05-18,5551.0,4.0,2018.0,34.3,0.0,16.6,21.0,1003.0,3.0,24.8,9.0,0.1,5339.428571428572,164.0,29.41882747415065,0.49999999999999994,38.30588336443303
138,2018-05-19,5451.0,5.0,2018.0,34.7,0.0,18.4,217.9,1002.8,2.6,25.3,9.0,0.13,5344.428571428572,-100.0,33.39705677522726,0.49999999999999994,38.116364026953114
139,2018-05-20,5341.0,6.0,2018.0,33.6,0.0,16.6,334.4,1004.0,3.4,26.4,9.0,0.17,5344.0,-110.0,23.432684307091325,0.49999999999999994,38.55448890353624
140,2018-05-21,5609.0,0.0,2018.0,34.1,0.0,18.4,345.5,1004.2,3.7,28.5,10.0,0.2,5438.714285714285,268.0,15.802083475863862,0.49999999999999994,40.4977291748669
141,2018-05-22,5856.0,1.0,2018.0,35.7,0.0,18.4,348.3,1003.4,3.3,28.3,10.0,0.25,5506.428571428572,247.0,17.36361420903955,0.49999999999999994,41.625744244931326
142,2018-05-23,6078.0,2.0,2018.0,36.2,0.0,14.8,51.6,1002.0,3.1,24.8,10.0,0.28,5610.428571428572,222.0,23.633645384929704,0.49999999999999994,40.94866395142516
143,2018-05-24,6029.0,3.0,2018.0,35.5,0.0,14.8,348.2,1001.3,3.4,27.1,10.0,0.31,5702.142857142857,-49.0,21.029032099499727,0.49999999999999994,40.4559767222261
144,2018-05-25,6008.0,4.0,2018.0,34.9,0.0,22.2,298.9,1001.7,3.7,29.0,10.0,0.35,5767.428571428572,-21.0,15.629660982435004,0.49999999999999994,40.89915266776089
145,2018-05-26,5851.0,5.0,2018.0,35.7,0.0,16.9,272.1,1000.6,2.9,29.0,10.0,0.38,5824.571428571428,-157.0,16.177124388112123,0.49999999999999994,41.30399747627342
146,2018-05-27,5966.0,6.0,2018.0,36.4,0.0,22.6,252.2,999.8,3.6,28.7,10.0,0.42,5913.857142857143,115.0,13.701571599616496,0.49999999999999994,42.698002699405414
147,2018-05-28,6209.0,0.0,2018.0,35.9,0.0,14.8,50.2,998.3,3.3,27.0,9.0,0.45,5999.571428571428,243.0,24.20860089516097,0.49999999999999994,40.702320336825636
148,2018-05-29,6293.0,1.0,2018.0,38.3,0.0,22.3,105.9,997.2,3.4,27.1,10.0,0.5,6062.0,84.0,27.491917746683107,0.49999999999999994,41.539360551095236
